NR,314,20,1835009,60992817,-1,-80.6053,35.4472,1000,6,1,1771339904,1771587438,0
NR,314,20,1835009,61004209,-1,-80.6686,35.4258,1000,4,1,1771340094,1771587439,0
NR,314,20,1835010,60995969,-1,-80.7939,35.2801,1000,1,1,1771340984,1771340984,0
NR,314,20,1835018,59203058,-1,-80.8039,35.2765,1000,5,1,1771341974,1771587441,0
NR,314,20,1835018,59200610,-1,-80.8108,35.2771,1000,3,1,1771342044,1771587441,0
NR,314,20,1835018,59200609,-1,-80.8119,35.2772,1000,2,1,1771342054,1771587441,0
NR,314,20,1835018,59202753,-1,-80.8187,35.2761,1000,6,1,1771342114,1771587441,0
NR,314,20,1835014,20546,-1,-80.9258,35.1127,1000,5,1,1771343624,1771587444,0
NR,314,20,1182638,1921600224,-1,-80.6727,28.0788,1000,3,1,1771531364,1771587631,0
NR,314,20,9896195,24866635800,-1,-80.6995,28.0785,1000,1,1,1771558055,1771558055,0
LTE,314,480,1,26637,-1,-104.9774,39.6175,1000,1,1,1771094391,1771094391,0
NR,314,200,2010,5235209482,-1,-81.1661,32.1147,1000,5,1,1772235524,1772324603,0
NR,314,200,2010,5235209236,-1,-81.1683,32.12,1000,9,1,1772235584,1772325975,0
NR,314,200,2010,5235217428,-1,-81.2124,31.9941,1000,6,1,1772234477,1772325969,0
NR,314,200,2010,5235209610,-1,-81.1642,32.1101,1000,3,1,1772235477,1772325975,0
NR,314,200,2010,5235209620,-1,-81.1645,32.1108,1000,2,1,1772235487,1772325975,0
NR,314,200,2010,5235209492,-1,-81.1659,32.1143,1000,10,1,1772235507,1772325975,0
NR,314,200,2010,5235209364,-1,-81.1674,32.1178,1000,5,1,1772235547,1772325975,0
NR,314,200,2010,5235209108,-1,-81.1696,32.1233,1000,8,1,1772235597,1772325975,0
NR,314,200,2010,5235208980,-1,-81.1715,32.1285,1000,13,1,1772235647,1772325975,0
NR,314,20,4525464,7204800016,-1,-79.7626,34.186,1000,3,1,1772247239,1772326040,0
NR,314,200,1520,37683203850,-1,-77.4908,37.5105,1000,5,1,1772268950,1772326072,0
NR,314,200,1520,37683203860,-1,-77.492,37.5121,1000,4,1,1772268960,1772326072,0
NR,314,200,1520,36608131210,-1,-77.491,37.6059,1000,7,1,1772269640,1772326074,0
NR,314,200,1520,36608132116,-1,-77.4951,37.6148,1000,4,1,1772269710,1772326074,0
NR,314,200,1520,36608130570,-1,-77.4961,37.6168,1000,7,1,1772269720,1772326075,0
NR,314,200,1520,36608131082,-1,-77.4977,37.6205,1000,8,1,1772269740,1772326075,0
NR,314,200,1520,36608132234,-1,-77.4977,37.6205,1000,4,1,1772269750,1772326075,0
NR,314,200,1520,36608132244,-1,-77.4983,37.6219,1000,4,1,1772269760,1772326075,0
NR,314,200,2017,5004800906,-1,-83.7184,33.9931,500,34,1,1775107787,1778995517,0
NR,314,200,2017,5004801172,-1,-83.7211,33.9925,1000,12,1,1775107916,1778995517,0
NR,314,200,2017,5004800650,-1,-83.7207,33.9913,602,39,1,1775107932,1778995517,0
NR,314,200,2017,5004800788,-1,-83.7279,33.9878,958,28,1,1775108051,1778995517,0
NR,314,200,2017,5004800778,-1,-83.7262,33.9893,1000,18,1,1775109273,1778995517,0
NR,314,200,2017,5004800916,-1,-83.7179,33.9931,1000,19,1,1775114764,1778995517,0
NR,314,200,2017,5004801162,-1,-83.7206,33.992,1000,19,1,1775114832,1778995517,0
NR,314,200,2017,5004801546,-1,-83.7356,33.9959,1000,17,1,1775212694,1778644395,0
NR,314,200,2017,5004801556,-1,-83.7357,33.9962,1000,7,1,1775212730,1778644395,0
NR,314,200,2017,5004801428,-1,-83.7322,33.9949,1000,6,1,1775212751,1778644395,0
NR,314,200,2017,5004801300,-1,-83.7277,33.9948,1000,5,1,1775212772,1778644394,0
NR,314,200,2017,5004801290,-1,-83.7275,33.9949,1000,3,1,1775212782,1775330346,0
NR,314,200,2017,5004800660,-1,-83.721,33.9922,1000,23,1,1775223085,1778995517,0
NR,314,200,2017,5004801034,-1,-83.7233,33.9923,1000,5,1,1775223156,1778644395,0
NR,314,200,2002,5478551434,-1,-84.2744,33.877,1000,2,1,1775321957,1775446211,0
NR,314,200,2001,5683276042,-1,-84.3643,33.8259,1000,5,1,1775322554,1775446211,0
NR,314,200,2001,5683275018,-1,-84.3613,33.8259,874,37,1,1775322580,1775446212,0
